"","bids_name","aor","aqi","dummy_trs","dvars_nstd","dvars_std","dvars_vstd","efc","fber","fd_mean","fd_num","fd_perc","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","gcor","gsr_x","gsr_y","size_t","size_x","size_y","size_z","snr","spacing_tr","spacing_x","spacing_y","spacing_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_fg_k","summary_fg_mad","summary_fg_mean","summary_fg_median","summary_fg_n","summary_fg_p05","summary_fg_p95","summary_fg_stdv","tsnr","subj","year","site","parent_site","scanner_type"
"21","sub-03_ses-Y4CMP_task-rest_run-02_bold",0.00118331730769231,0.00174538078365385,0,25.2342733851691,1.16427076816425,1.00322292188406,0.554027527503996,380.890686035156,0.189593618872974,92,44.2307692307692,2.60695653333333,2.6128768,2.9766528,2.23134,0.00828046,0.00066185393370688,0.0619550235569477,208,64,64,37,1.85755385743274,2,3.125,3.125,4,70.9881774918947,8.04026889801025,67.7111053466797,34.7884635925293,75372,27.8894233703613,229.614432525634,116.719436645508,1.50156367405353,368.212921142578,848.636169433594,766.144287109375,40821,330.605773925781,1642.99523925781,412.442901611328,70.1526565551758,"sub-03","ses-Y4","CMP","CM","prisma"
"22","sub-04_ses-Y1CMH_task-rest_run-01_bold",0.00162048076923077,0.00423310860576923,0,14.3816068713043,1.00466735995169,0.96743933115942,0.486634042433909,25010.9921875,0.208402844115552,85,40.8653846153846,3.0441174,2.9258592,3.560768,2.645725,0.0424559,-0.00626715086400509,0.0254115574061871,208,64,64,40,4.38074002751487,2,3.125,3.125,4,60.2099142050562,39.1107635498047,122.426666259766,26.9230785369873,91669,0.0673076957464218,555.445227050779,293.5068359375,1.33193121240387,810.723510742188,4157.84423828125,4255.0625,36480,2331.91505126953,5579.80029296875,971.298034667969,68.1774368286133,"sub-04","ses-Y1","CMH","CM","GE"
"23","sub-04_ses-Y1MRC_task-rest_run-01_bold",0.000561346153846154,0.00341662769230769,0,38.7710004151691,1.08160112589372,0.991757672657005,0.488520224592449,1259.27722167969,0.216660277819343,107,51.4423076923077,2.73948796666667,2.6890624,3.269184,2.2602175,0.0179264,0.00188956514466554,0.0681222528219223,208,64,64,40,1.9410578711572,2.01999998092651,3.125,3.125,4,140.077779504298,8.39666080474854,27.2366046905518,13.7211542129517,89695,5.8125,87.943270111084,57.6842041015625,4.12865530843797,210.280075073242,597.447937011719,537.40869140625,38261,273.052886962891,1128.01440429688,276.860198974609,39.25634765625,"sub-04","ses-Y1","MRC","MR","GE"
"24","sub-04_ses-Y1ZHH_task-rest_run-01_bold",0.00148197115384615,0.00206669158653846,0,21.0319083578744,1.18870450246377,1.01330676714976,0.471957518751315,31278.01171875,0.173144959237228,82,39.4230769230769,2.81909773333333,2.8439904,3.0998528,2.51345,0.0515932,-0.0062114279717207,0.0341301411390305,208,64,64,40,3.14020935050129,2,3.125,3.125,4,102.034065135988,16.3585205078125,60.1122283935547,11.057692527771,92206,0,284.504806518555,158.785491943359,0.561116049042691,516.708251953125,1968.05139160156,1949.14428710938,35791,883.43994140625,3028.30786132812,620.696533203125,74.4188842773438,"sub-04","ses-Y1","ZHH","ZH","GE"
"25","sub-04_ses-Y2CMH_task-rest_run-01_bold",0.000614326923076923,0.00193212504807692,0,13.5278890953623,1.0691834073913,0.985705023381643,0.488808574809244,24116.30859375,0.186489854236209,88,42.3076923076923,2.92374653333333,2.8500896,3.3824,2.53875,0.0425429,-0.00706567568704486,0.0204284377396107,208,64,64,40,4.40728366220519,2,3.125,3.125,4,44.0659026062585,35.7107543945312,130.471145629883,27.7163467407227,91741,1.10576927661896,591.538513183594,307.162963867188,1.6159820693625,791.716857910156,4238.7177734375,4306.4375,36525,2407.75112304687,5681.24560546875,977.104919433594,97.0807571411133,"sub-04","ses-Y2","CMH","CM","GE"
"26","sub-04_ses-Y2ZHH_task-rest_run-01_bold",0.00105379807692308,0.00213916451923077,0,22.7414624679227,1.23768045652174,0.999215920241546,0.467314176026779,41730.5859375,0.210166170421467,101,48.5576923076923,2.73304201947948,2.8514816,2.8502912,2.49735325843843,0.0332735,-0.00810351967811584,0.00804496835917234,208,64,64,40,2.82188542636761,2,3.125,3.125,3.99976253509521,81.7475558840338,21.4977340698242,94.9006271362305,14.548077583313,92301,0,460.716369628906,244.537048339844,0.85178753732453,885.772827148438,3196.81323242188,3097.259765625,35342,1442.77870483398,5175.13891601562,1097.56970214844,75.1882476806641,"sub-04","ses-Y2","ZHH","ZH","GE"
"27","sub-04_ses-Y3CMH_task-rest_run-01_bold",0.00174048076923077,0.00354842418269231,0,15.1062279484541,1.08823847275362,0.989004973671497,0.481692553622843,28391.15234375,0.181422621489697,72,34.6153846153846,2.96635533333333,2.870464,3.429952,2.59865,0.03338,-0.00191416533198208,0.0239692199975252,208,64,64,40,4.48754526735263,2,3.125,3.125,4,66.0987088840667,29.2315006256104,99.2381973266602,23.1201934814453,91555,1.27403855323792,444.142318725586,236.057205200195,1.34248297655835,713.44189453125,3838.08520507812,3910.76708984375,36342,2229.76544189453,5111.86010742188,871.459350585938,74.6893539428711,"sub-04","ses-Y3","CMH","CM","GE"
"28","sub-04_ses-Y3MRP_task-rest_run-01_bold",0.000793509615384615,0.00125717628846154,0,19.4338226921739,1.08154435439613,0.985875877342996,0.532274200992033,442.614379882812,0.149024920168337,51,24.5192307692308,2.53166373333333,2.492448,2.7277632,2.37478,0.0272649,0.00446766335517168,0.0720130056142807,208,64,64,37,1.8448385354448,2,3.125,3.125,4,75.6104454845712,8.090163230896,58.5276718139648,31.649040222168,78850,24.7980785369873,184.649528503418,94.8783416748047,1.60752732156783,330.313812255859,833.481994628906,742.72119140625,38368,335.594734191895,1634.48203125,402.588897705078,77.9998397827148,"sub-04","ses-Y3","MRP","MR","prisma"
"29","sub-04_ses-Y3ZHP_task-rest_run-01_bold",0.000929086538461538,0.00210844302884615,0,18.6849581956039,1.03445305154589,0.972997015603865,0.541670658075638,427.517974853516,0.176975320077698,73,35.0961538461538,2.55186886666667,2.47856,2.8357216,2.341325,0.0384609,-0.00413838773965836,0.0715969279408455,208,64,64,37,1.91934834109926,2,3.125,3.125,4,56.5625390120728,6.85703563690186,56.3022193908691,30.1538467407227,78127,24.5721168518066,183.629336547851,84.7692489624023,1.36072023042468,300.608306884766,771.836120605469,694.1875,39210,320.461299133301,1491.20657348633,361.674133300781,66.4888229370117,"sub-04","ses-Y3","ZHP","ZH","prisma"
"30","sub-04_ses-Y4CMP_task-rest_run-01_bold",0.000947259615384615,0.00163656953846154,0,21.9255747311594,1.09212801642512,0.990463283961353,0.544316733616817,337.941040039062,0.251660522085544,125,60.0961538461538,2.54111523333333,2.4669504,2.8464928,2.3099025,0.0257715,-0.00114302546717227,0.0705053731799126,208,64,64,37,1.82333485264816,2,3.125,3.125,4,79.8392250340242,7.79078817367554,64.2983551025391,35.524040222168,77771,29.052885055542,198.175491333008,99.6508255004883,1.14062232910023,337.5771484375,822.767944335938,729.230773925781,39253,331.987512207031,1617.10969238281,399.938323974609,68.2646636962891,"sub-04","ses-Y4","CMP","CM","prisma"
